State,Civilian_labor_force_2011
AK,734088
AL,4381044
AR,2739713
AZ,6068526
CA,36769777
CO,5446060
CT,3836253
DC,688666
DE,878362
FL,18497016
GA,9450224
HI,1321389
IA,3327192
ID,1541284
IL,13131016
IN,6376531
KS,3010089
KY,4135063
LA,4121280
MA,6912888
MD,6144496
ME,1408165
MI,9316223
MN,5955846
MO,6092613
MS,2687701
MT,1008827
NC,9307828
ND,765893
NE,2010916
NH,1476565
NJ,9112377
NM,1855573
NV,2771746
NY,19008485
OH,11612938
OK,3541653
OR,3983748
PA,12771420
RI,1126827
SC,4314536
SD,892509
TN,6265493
TX,24903029
UT,2676522
VA,8612348
VT,718331
WA,6969630
WI,6124525
WV,1599769
WY,608485
